
************************************************
Report:               average power
Design:               evlpMultiplier
Library File(s):      /home/cad/TSMC/13/synopsys/slow.db
Simulation period[1]: 0 ns - 127701 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Mon Jul 23 16:14:28 2007
************************************************

operating_condition_max_name: slow Library: slow

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier TSMC13_Conservative slow library default
hot_B_bit_ff       evMS_FlipFlop TSMC13_Conservative slow library default
adder/adder_17/mx3 evMUX2_1_65  TSMC13_Conservative slow  library default
adder/adder_17/mx4 evMUX2_1_64  TSMC13_Conservative slow  library default
adder/adder_18     evLPFA_13    TSMC13_Conservative slow  library default
adder/adder_18/inv evCINV_13    TSMC13_Conservative slow  library default
adder/adder_18/mx1 evMUX2_1_63  TSMC13_Conservative slow  library default
adder/adder_18/mx2 evMUX2_1_62  TSMC13_Conservative slow  library default
adder/adder_18/mx3 evMUX2_1_61  TSMC13_Conservative slow  library default
adder/adder_18/mx4 evMUX2_1_60  TSMC13_Conservative slow  library default
adder/adder_19     evLPFA_12    TSMC13_Conservative slow  library default
adder/adder_19/inv evCINV_12    TSMC13_Conservative slow  library default
adder/adder_19/mx1 evMUX2_1_59  TSMC13_Conservative slow  library default
adder/adder_19/mx2 evMUX2_1_58  TSMC13_Conservative slow  library default
adder/adder_19/mx3 evMUX2_1_57  TSMC13_Conservative slow  library default
adder/adder_19/mx4 evMUX2_1_56  TSMC13_Conservative slow  library default
adder/adder_20     evLPFA_11    TSMC13_Conservative slow  library default
adder/adder_20/inv evCINV_11    TSMC13_Conservative slow  library default
adder/adder_20/mx1 evMUX2_1_55  TSMC13_Conservative slow  library default
adder/adder_20/mx2 evMUX2_1_54  TSMC13_Conservative slow  library default
adder/adder_20/mx3 evMUX2_1_53  TSMC13_Conservative slow  library default
adder/adder_20/mx4 evMUX2_1_52  TSMC13_Conservative slow  library default
adder/adder_21     evLPFA_10    TSMC13_Conservative slow  library default
adder/adder_21/inv evCINV_10    TSMC13_Conservative slow  library default
adder/adder_21/mx1 evMUX2_1_51  TSMC13_Conservative slow  library default
adder/adder_21/mx2 evMUX2_1_50  TSMC13_Conservative slow  library default
adder/adder_21/mx3 evMUX2_1_49  TSMC13_Conservative slow  library default
adder/adder_21/mx4 evMUX2_1_48  TSMC13_Conservative slow  library default
adder/adder_22     evLPFA_9     TSMC13_Conservative slow  library default
adder/adder_22/inv evCINV_9     TSMC13_Conservative slow  library default
adder/adder_22/mx1 evMUX2_1_47  TSMC13_Conservative slow  library default
adder/adder_22/mx2 evMUX2_1_46  TSMC13_Conservative slow  library default
adder/adder_22/mx3 evMUX2_1_45  TSMC13_Conservative slow  library default
adder/adder_22/mx4 evMUX2_1_44  TSMC13_Conservative slow  library default
adder/adder_23     evLPFA_8     TSMC13_Conservative slow  library default
adder/adder_23/inv evCINV_8     TSMC13_Conservative slow  library default
adder/adder_23/mx1 evMUX2_1_43  TSMC13_Conservative slow  library default
adder/adder_23/mx2 evMUX2_1_42  TSMC13_Conservative slow  library default
adder/adder_23/mx3 evMUX2_1_41  TSMC13_Conservative slow  library default
adder/adder_23/mx4 evMUX2_1_40  TSMC13_Conservative slow  library default
adder/adder_24     evLPFA_7     TSMC13_Conservative slow  library default
adder/adder_24/inv evCINV_7     TSMC13_Conservative slow  library default
adder/adder_24/mx1 evMUX2_1_39  TSMC13_Conservative slow  library default
adder/adder_24/mx2 evMUX2_1_38  TSMC13_Conservative slow  library default
adder/adder_24/mx3 evMUX2_1_37  TSMC13_Conservative slow  library default
