
************************************************
Report:               average power
Design:               evlpMultiplier16
Library File(s):      /home/cad/TSMC/18/synopsys/typical.db
Simulation period[1]: 0 ns - 296801 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Thu Jul 26 14:18:00 2007
************************************************

operating_condition_max_name: typical Library: typical

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier16 UMC18_Conservative typical library default
bypass_reg/ff_12   evMS_Rstbl_FlipFlop_34 UMC18_Conservative typical library default
bypass_reg/ff_13   evMS_Rstbl_FlipFlop_33 UMC18_Conservative typical library default
bypass_reg/ff_14   evMS_Rstbl_FlipFlop_32 UMC18_Conservative typical library default
bypass_reg/ff_15   evMS_Rstbl_FlipFlop_31 UMC18_Conservative typical library default
feeder_reg         evlpRegister_wdt16_0 UMC18_Conservative typical library default
feeder_reg/ff_0    evMS_Rstbl_FlipFlop_30 UMC18_Conservative typical library default
feeder_reg/ff_1    evMS_Rstbl_FlipFlop_29 UMC18_Conservative typical library default
feeder_reg/ff_2    evMS_Rstbl_FlipFlop_28 UMC18_Conservative typical library default
feeder_reg/ff_3    evMS_Rstbl_FlipFlop_27 UMC18_Conservative typical library default
feeder_reg/ff_4    evMS_Rstbl_FlipFlop_26 UMC18_Conservative typical library default
feeder_reg/ff_5    evMS_Rstbl_FlipFlop_25 UMC18_Conservative typical library default
feeder_reg/ff_6    evMS_Rstbl_FlipFlop_24 UMC18_Conservative typical library default
feeder_reg/ff_7    evMS_Rstbl_FlipFlop_23 UMC18_Conservative typical library default
feeder_reg/ff_8    evMS_Rstbl_FlipFlop_22 UMC18_Conservative typical library default
feeder_reg/ff_9    evMS_Rstbl_FlipFlop_21 UMC18_Conservative typical library default
feeder_reg/ff_10   evMS_Rstbl_FlipFlop_20 UMC18_Conservative typical library default
feeder_reg/ff_11   evMS_Rstbl_FlipFlop_19 UMC18_Conservative typical library default
feeder_reg/ff_12   evMS_Rstbl_FlipFlop_18 UMC18_Conservative typical library default
feeder_reg/ff_13   evMS_Rstbl_FlipFlop_17 UMC18_Conservative typical library default
feeder_reg/ff_14   evMS_Rstbl_FlipFlop_16 UMC18_Conservative typical library default
feeder_reg/ff_15   evMS_Rstbl_FlipFlop_15 UMC18_Conservative typical library default
mux                evlpMux2_1_wdt17 UMC18_Conservative typical library default
mux/mux_0          evMUX2_1_84  UMC18_Conservative typical library default
mux/mux_1          evMUX2_1_83  UMC18_Conservative typical library default
mux/mux_2          evMUX2_1_82  UMC18_Conservative typical library default
mux/mux_3          evMUX2_1_81  UMC18_Conservative typical library default
mux/mux_4          evMUX2_1_80  UMC18_Conservative typical library default
mux/mux_5          evMUX2_1_79  UMC18_Conservative typical library default
mux/mux_6          evMUX2_1_78  UMC18_Conservative typical library default
mux/mux_7          evMUX2_1_77  UMC18_Conservative typical library default
mux/mux_8          evMUX2_1_76  UMC18_Conservative typical library default
mux/mux_9          evMUX2_1_75  UMC18_Conservative typical library default
mux/mux_10         evMUX2_1_74  UMC18_Conservative typical library default
mux/mux_11         evMUX2_1_73  UMC18_Conservative typical library default
mux/mux_12         evMUX2_1_72  UMC18_Conservative typical library default
mux/mux_13         evMUX2_1_71  UMC18_Conservative typical library default
mux/mux_14         evMUX2_1_70  UMC18_Conservative typical library default
mux/mux_15         evMUX2_1_69  UMC18_Conservative typical library default
mux/mux_16         evMUX2_1_68  UMC18_Conservative typical library default
counter            evRingCounter_GtdClk_wdt16_block_size4 UMC18_Conservative typical library default
counter/first_gator evClockGator_RngCntrP UMC18_Conservative typical library default
counter/first_gator/line_selector evMUX2_1_3 UMC18_Conservative typical library default
counter/first_gator/prlatch evPrst_Latch_cell UMC18_Conservative typical library default
counter/gator_1    evClockGator_RngCntrR_2 UMC18_Conservative typical library default
counter/gator_1/line_selector evMUX2_1_2 UMC18_Conservative typical library default
counter/gator_1/rlatch evRst_Latch_cell_2 UMC18_Conservative typical library default
counter/gator_2    evClockGator_RngCntrR_1 UMC18_Conservative typical library default
counter/gator_2/line_selector evMUX2_1_1 UMC18_Conservative typical library default
counter/gator_2/rlatch evRst_Latch_cell_1 UMC18_Conservative typical library default
counter/last_gator_3 evClockGator_RngCntrR_0 UMC18_Conservative typical library default
counter/last_gator_3/line_selector evMUX2_1_0 UMC18_Conservative typical library default
counter/last_gator_3/rlatch evRst_Latch_cell_0 UMC18_Conservative typical library default
counter/first_ff   evMS_Prstbl_FlipFlop UMC18_Conservative typical library default
counter/ff_1       evMS_Rstbl_FlipFlop_14 UMC18_Conservative typical library default
counter/ff_2       evMS_Rstbl_FlipFlop_13 UMC18_Conservative typical library default
counter/ff_3       evMS_Rstbl_FlipFlop_12 UMC18_Conservative typical library default
counter/ff_4       evMS_Rstbl_FlipFlop_11 UMC18_Conservative typical library default
counter/ff_5       evMS_Rstbl_FlipFlop_10 UMC18_Conservative typical library default
counter/ff_6       evMS_Rstbl_FlipFlop_9 UMC18_Conservative typical library default
counter/ff_7       evMS_Rstbl_FlipFlop_8 UMC18_Conservative typical library default
counter/ff_8       evMS_Rstbl_FlipFlop_7 UMC18_Conservative typical library default
counter/ff_9       evMS_Rstbl_FlipFlop_6 UMC18_Conservative typical library default
counter/ff_10      evMS_Rstbl_FlipFlop_5 UMC18_Conservative typical library default
counter/ff_11      evMS_Rstbl_FlipFlop_4 UMC18_Conservative typical library default
counter/ff_12      evMS_Rstbl_FlipFlop_3 UMC18_Conservative typical library default
counter/ff_13      evMS_Rstbl_FlipFlop_2 UMC18_Conservative typical library default
counter/ff_14      evMS_Rstbl_FlipFlop_1 UMC18_Conservative typical library default
counter/ff_15      evMS_Rstbl_FlipFlop_0 UMC18_Conservative typical library default
low_res_latch      evInpDemuxLatch_wdt16 UMC18_Conservative typical library default
low_res_latch/latch_0 evLatch_cell_15 UMC18_Conservative typical library default
low_res_latch/latch_1 evLatch_cell_14 UMC18_Conservative typical library default
low_res_latch/latch_2 evLatch_cell_13 UMC18_Conservative typical library default
low_res_latch/latch_3 evLatch_cell_12 UMC18_Conservative typical library default
low_res_latch/latch_4 evLatch_cell_11 UMC18_Conservative typical library default
low_res_latch/latch_5 evLatch_cell_10 UMC18_Conservative typical library default
low_res_latch/latch_6 evLatch_cell_9 UMC18_Conservative typical library default
low_res_latch/latch_7 evLatch_cell_8 UMC18_Conservative typical library default
low_res_latch/latch_8 evLatch_cell_7 UMC18_Conservative typical library default
low_res_latch/latch_9 evLatch_cell_6 UMC18_Conservative typical library default
low_res_latch/latch_10 evLatch_cell_5 UMC18_Conservative typical library default
low_res_latch/latch_11 evLatch_cell_4 UMC18_Conservative typical library default
low_res_latch/latch_12 evLatch_cell_3 UMC18_Conservative typical library default
low_res_latch/latch_13 evLatch_cell_2 UMC18_Conservative typical library default
low_res_latch/latch_14 evLatch_cell_1 UMC18_Conservative typical library default
low_res_latch/latch_15 evLatch_cell_0 UMC18_Conservative typical library default

Library Power-specific unit information :
	Time Unit : 1 ns
	Capacitance Unit : 1 pF
	Voltage Unit : 1 V
	Dynamic Power Unit : 0.001 W
	Leakage Power Unit : 1e-09 W


Definitions:
    Total Power     = Dynamic + Leakage
    Dynamic Power   = Switching + Internal
    Switching Power = load capacitance charge or discharge power
    Internal Power  = power dissipated within a cell
    X-tran Power    = component of dynamic power-dissipated into x-transitions
    Glitch Power    = component of dynamic power-dissipated into detectable
                      glitches at the nets
