
************************************************
Report:               average power
Design:               evlpMultiplier16
Library File(s):      /home/cad/TSMC/13/synopsys/typical.db
Simulation period[1]: 0 ns - 29681 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Tue Aug 14 19:40:20 2007
************************************************

operating_condition_max_name: typical Library: typical

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier16 TSMC13_Conservative typical library default
feeder_reg/ff_3    evMS_Rstbl_FlipFlop_27 TSMC13_Conservative typical library default
feeder_reg/ff_4    evMS_Rstbl_FlipFlop_26 TSMC13_Conservative typical library default
feeder_reg/ff_5    evMS_Rstbl_FlipFlop_25 TSMC13_Conservative typical library default
feeder_reg/ff_6    evMS_Rstbl_FlipFlop_24 TSMC13_Conservative typical library default
feeder_reg/ff_7    evMS_Rstbl_FlipFlop_23 TSMC13_Conservative typical library default
feeder_reg/ff_8    evMS_Rstbl_FlipFlop_22 TSMC13_Conservative typical library default
feeder_reg/ff_9    evMS_Rstbl_FlipFlop_21 TSMC13_Conservative typical library default
feeder_reg/ff_10   evMS_Rstbl_FlipFlop_20 TSMC13_Conservative typical library default
feeder_reg/ff_11   evMS_Rstbl_FlipFlop_19 TSMC13_Conservative typical library default
feeder_reg/ff_12   evMS_Rstbl_FlipFlop_18 TSMC13_Conservative typical library default
feeder_reg/ff_13   evMS_Rstbl_FlipFlop_17 TSMC13_Conservative typical library default
feeder_reg/ff_14   evMS_Rstbl_FlipFlop_16 TSMC13_Conservative typical library default
feeder_reg/ff_15   evMS_Rstbl_FlipFlop_15 TSMC13_Conservative typical library default
mux                evlpMux2_1_wdt17 TSMC13_Conservative typical library default
mux/mux_0          evMUX2_1_84  TSMC13_Conservative typical library default
mux/mux_1          evMUX2_1_83  TSMC13_Conservative typical library default
mux/mux_2          evMUX2_1_82  TSMC13_Conservative typical library default
mux/mux_3          evMUX2_1_81  TSMC13_Conservative typical library default
mux/mux_4          evMUX2_1_80  TSMC13_Conservative typical library default
mux/mux_5          evMUX2_1_79  TSMC13_Conservative typical library default
mux/mux_6          evMUX2_1_78  TSMC13_Conservative typical library default
mux/mux_7          evMUX2_1_77  TSMC13_Conservative typical library default
mux/mux_8          evMUX2_1_76  TSMC13_Conservative typical library default
mux/mux_9          evMUX2_1_75  TSMC13_Conservative typical library default
mux/mux_10         evMUX2_1_74  TSMC13_Conservative typical library default
mux/mux_11         evMUX2_1_73  TSMC13_Conservative typical library default
mux/mux_12         evMUX2_1_72  TSMC13_Conservative typical library default
mux/mux_13         evMUX2_1_71  TSMC13_Conservative typical library default
mux/mux_14         evMUX2_1_70  TSMC13_Conservative typical library default
mux/mux_15         evMUX2_1_69  TSMC13_Conservative typical library default
mux/mux_16         evMUX2_1_68  TSMC13_Conservative typical library default
counter            evRingCounter_GtdClk_wdt16_block_size4 TSMC13_Conservative typical library default
counter/first_gator evClockGator_RngCntrP TSMC13_Conservative typical library default
counter/first_gator/line_selector evMUX2_1_3 TSMC13_Conservative typical library default
counter/first_gator/prlatch evPrst_Latch_cell TSMC13_Conservative typical library default
counter/gator_1    evClockGator_RngCntrR_2 TSMC13_Conservative typical library default
counter/gator_1/line_selector evMUX2_1_2 TSMC13_Conservative typical library default
counter/gator_1/rlatch evRst_Latch_cell_2 TSMC13_Conservative typical library default
counter/gator_2    evClockGator_RngCntrR_1 TSMC13_Conservative typical library default
counter/gator_2/line_selector evMUX2_1_1 TSMC13_Conservative typical library default
counter/gator_2/rlatch evRst_Latch_cell_1 TSMC13_Conservative typical library default
counter/last_gator_3 evClockGator_RngCntrR_0 TSMC13_Conservative typical library default
counter/last_gator_3/line_selector evMUX2_1_0 TSMC13_Conservative typical library default
counter/last_gator_3/rlatch evRst_Latch_cell_0 TSMC13_Conservative typical library default
counter/first_ff   evMS_Prstbl_FlipFlop TSMC13_Conservative typical library default
counter/ff_1       evMS_Rstbl_FlipFlop_14 TSMC13_Conservative typical library default
counter/ff_2       evMS_Rstbl_FlipFlop_13 TSMC13_Conservative typical library default
counter/ff_3       evMS_Rstbl_FlipFlop_12 TSMC13_Conservative typical library default
counter/ff_4       evMS_Rstbl_FlipFlop_11 TSMC13_Conservative typical library default
counter/ff_5       evMS_Rstbl_FlipFlop_10 TSMC13_Conservative typical library default
